Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
Diseases associated with translocation of captive cervids in North America,10.1002/wsb.638,,,,,,,,,,,
Historical data reveal power-law dispersal patterns of invasive aquatic species,10.1111/j.1600-0587.2013.00296.x,,,,,,,,,,,
Can Human Movements Explain Heterogeneous Propagation of Dengue Fever in Cambodia?,10.1371/journal.pntd.0001957,8.0,,,no,not mentioned,41.0,dengue fever,Cambodia,"['human movements', 'dengue propagation', 'Cambodia']",['wavelet phase analysis'],"Yes, this paper should be included because it deeply explores the correlation between human movements and the spatial-temporal spread of dengue, a significant infectious disease, across a national scale in a specific geographical context."
Burkholderia mallei: The dynamics of networks and disease transmission,10.1111/tbed.13071,8.0,,,no,not mentioned,16.0,glanders,municipalities and farms,"['B. mallei transmission', 'network analysis', 'disease control']","['network analysis', 'spatio-temporal generalized additive model (GAM)']","Yes, this paper should be included because it utilizes human mobility (in this case, animal mobility within human-controlled systems) insights to predict and control the spread of the infectious disease glanders. The methodological approach using network analysis and GAM to connect movement dynamics to disease outbreaks provides valuable insights for the broader discussion of mobility in infectious disease propagation."
Call detail record aggregation methodology impacts infectious disease models informed by human mobility,10.1371/journal.pcbi.1011368,8.0,,,no,not mentioned,0.0,not specified,Ghana,"['human mobility', 'epidemiological models', 'infection transmission']",['metapopulation SEIR model'],"Yes, this paper should be included as it provides significant insights into how different methodologies of aggregating mobile device data can affect the predictions of infectious disease spread models, specifically within the context of human mobility data. This is crucial for refining and improving models that are essential in the planning of outbreak response and public health strategies."
Human-network regions as effective geographic units for disease mitigation,10.1140/epjds/s13688-023-00426-1,8.0,,,no,not mentioned,0.0,COVID-19,coterminous United States,"['COVID-19', 'human mobility', 'geographic regions']",['community-detection algorithms'],"Yes, this paper should be included because it significantly contributes to understanding how human mobility shaped by functional geographic regions impacts the spread of COVID-19, hence relevant for policy decisions regarding disease mitigation."
"Management of raccoons (Procyon lotor) in Ontario, Canada:: Do human intervention and disease have significant impact on raccoon populations?",10.1515/mamm.2000.64.4.369,3.0,,,no,not mentioned,78.0,"rabies, canine distemper","Ontario, Canada","['raccoon management', 'infectious diseases', 'population control']",[],"No, this paper should not be included because it predominantly focuses on wildlife management and only tangentially touches upon infectious diseases without a clear linkage to human mobility effects."
Integrative molecular phylogeography in the context of infectious diseases on the human-animal interface,10.1017/S0031182012001102,9.0,,,no,not mentioned,8.0,zoonotic diseases,global,"['molecular phylogeography', 'zoonotic diseases', 'statistical methods']","['Bayesian reconstruction', 'network parsimony analysis', 'regression']","Yes, this paper should be included as it directly addresses the impact of human and animal mobility on the spread of zoonotic infectious diseases, employing a robust analytical framework which is crucial for understanding disease dynamics at the human-animal interface."
Contextualizing mobility during the Ebola epidemic in Liberia,10.1371/journal.pntd.0010370,9.0,,,no,not mentioned,3.0,Ebola Virus Disease,Liberia,"['human mobility', 'Ebola Virus Disease', 'public health response']",[],"Yes, this paper should be included because it focuses extensively on the intersection of human mobility and its influence on the spread and control of the Ebola Virus Disease, making it highly relevant to a discussion on human mobility and infectious diseases."
How to Move from Cell to Cell without Leaving the Intracellular Space: Lessons from Intracellular Parasites,10.3103/S0891416821010031,4.0,,,no,not mentioned,0.0,intracellular parasites,global,"['intracellular parasites', 'actin microfilaments', 'antimicrobial agents']",[],"No, this paper should not be included as its focus is primarily on the molecular and cellular mechanisms of intracellular parasites rather than human mobility and its direct impact on the spread of infectious diseases."
Emerging and Exotic Zoonotic Disease Preparedness and Response in the United States - Coordination of the Animal Health Component,10.1111/j.1863-2378.2012.01495.x,,,,,,,,,,,
A dynamic approach to support outbreak management using reinforcement learning and semi-connected SEIQR models,10.1186/s12889-024-18251-0,,,,,,,,,,,
Locating Infectious Sources Using Bluetooth System of Smart Devices,10.3390/app13127218,8.0,,,no,not mentioned,0.0,COVID-19,global,"['Bluetooth technology', 'infectious diseases', 'epidemic prevention']",['big data algorithms'],"Yes, this paper should be included as it provides insights into the application of Bluetooth technology combined with big data for tracing and managing infectious disease spread, particularly COVID-19, which is highly relevant to the discussion on human mobility and infectious diseases."
Resistance in persisting bat populations after white-nose syndrome invasion,10.1098/rstb.2016.0044,7.0,,,no,not provided,85.0,white-nose syndrome,not specified,"['pathogen introduction', 'disease dynamics', 'white-nose syndrome']",['mathematical models'],"Yes, this paper should be included as it provides insights into how human-induced pathogen spread affects wildlife populations, which can be an indirect but relevant factor in broader discussions of human mobility and infectious diseases."
"The traveller and emerging infections: sentinel, courier, transmitter",,9.0,,,no,not mentioned,82.0,not specified,global,"['travel', 'pathogens', 'public health']",[],"Yes, this paper should be included as it provides a comprehensive view on how travel influences the global spread of infectious diseases, aligning well with the discussion topics of human mobility and infection transmission. Its focus on travelers as both sentinels and vectors enhances understanding of disease dynamics and public health responses."
Modeling the Geographic Spread of Rabies in China,10.1371/journal.pntd.0003772,8.0,,,no,not mentioned,22.0,rabies,Mainland China,"['rabies', 'human mobility', 'multi-patch model']",['multi-patch model'],"Yes, this paper should be included because it provides a detailed analysis of the impact of dog movement on the spread of rabies in China, utilizing a multi-patch model to explore the dynamics between different provinces. This directly correlates with the study of human mobility and infectious diseases, making it highly relevant."
"Simulating the Transmission of Foot-And-Mouth Disease Among Mobile Herds in the Far North Region, Cameroon",10.18564/jasss.3064,,,,,,,,,,,
Issues in the handling of cases of tuberculosis in the mortuary,10.1016/j.jflm.2019.04.002,4.0,,,no,not mentioned,11.0,tuberculosis,not specified,"['tuberculosis', 'mortuary', 'forensic practice']",[],"No, this paper should not be included as it focuses primarily on safety protocols in mortuaries rather than the broader implications of human mobility on the spread of infectious diseases."
Changing spatial epidemiology of pertussis in continental USA,10.1098/rspb.2012.1761,,,,,,,,,,,
Disease transmission and introgression can explain the long-lasting contact zone of modern humans and Neanderthals,10.1038/s41467-019-12862-7,7.0,,,no,not mentioned,25.0,not specified,the Levant,"['infectious disease dynamics', 'introgression', 'Neanderthals and modern humans']",['dynamical-systems models'],"Yes, this paper should be included because it provides a historical and evolutionary perspective on how infectious diseases could impact population movements and species interaction, which are central to discussions of human mobility and infectious diseases, even though it does not focus on a specific contemporary disease."
